,ReviewID,Target
26,CD003466,"Firm evidence of the positive effects of SLT for children with cerebral palsy has not been demonstrated by this review. However, positive trends in communication change were shown. No change in practice is recommended from this updated review. Further research is needed to describe this client group, and its possible clinical subgroups, and the methods of treatment currently used in SLT. Research is also needed to investigate the effectiveness of new and established interventions and their acceptability to families. Rigour in research practice needs to be extended to enable firm associations between therapy and the communication change to be made. There are now sufficient data to develop randomised controlled studies of dysarthria interventions and group parent training programmes. Such research is urgently needed to ensure clinically effective provision for this group of children, who are at severe risk of social and educational exclusion."
27,CD002173,There is insufficient evidence to be sure about the efficacy of sodium cromoglycate over placebo. Publication bias is likely to have overestimated the beneficial effects of sodium cromoglycate as maintenance therapy in childhood asthma.
28,CD002886,Systemic corticosteroids produce some improvements for children admitted to hospital with acute asthma. The benefits may include earlier discharge and fewer relapses. Inhaled or nebulised corticosteroids cannot be recommended as equivalent to systemic steroids at this time. Further studies examining differing doses and routes of administration for corticosteroids will clarify the optimal therapy.
29,CD006769,"Although a variety of treatments have been proposed for bleb leaks, there is no evidence of their comparative effectiveness.
The evidence in this review was provided by a single trial that compared two surgical procedures (conjunctival advancement and amniotic membrane transplant). The trial did show a superiority of conjunctival advancement, which was regarded as standard treatment, to amniotic membrane transplantation. There is a need for more randomised trials to validate the findings of this single trial and provide more information on the different types of interventions, especially non-surgical treatments compared to surgical procedures. We recommend that any intervention should be compared to a standard procedure, which is to date conjunctival advancement."
30,CD005573,"Conventional therapy combined with a probiotic does not improve overall remission rates in patients with mild to moderate ulcerative colitis. However, there is limited evidence that probiotics added to standard therapy may provide modest benefits in terms of reduction of disease activity in patients with mild to moderately severe ulcerative colitis. Whether probiotics are as effective in patients with severe and more extensive disease and whether they can be used as an alternative to existing therapies is unknown. Further well designed, larger randomised controlled trials are needed to determine whether probiotics can be used as an alternative to current treatment modalities."
31,CD005976,"The evidence of this review suggests that a short course (three days) of antibiotic therapy is as effective as a longer treatment (five days) for non-severe CAP in children under five years of age. However, there is a need for more well-designed RCTs to support our review findings."
32,CD001289,There is not enough evidence to evaluate the routine use of mucolytics for bronchiectasis. High doses of bromhexine coupled with antibiotics may help with sputum production and clearance.
33,CD006189,"Available data from two placebo-controlled trials and one no-treatment controlled trial provides ""Silver"" level evidence (www.cochranemsk.org) that oral steroids provides significant short-term benefits in pain, range of movement of the shoulder and function in adhesive capsulitis but the effect may not be maintained beyond six weeks."
34,CD009043,"Evidence from two randomized controlled trials suggests that aripiprazole can be effective in treating some behavioral aspects of ASD in children. After treatment with aripiprazole, children showed less irritability, hyperactivity, and stereotypies (repetitive, purposeless actions). Notable side effects must be considered, however, such as weight gain, sedation, drooling, and tremor. Longer studies of aripiprazole in individuals with ASD would be useful to gain information on long-term safety and efficacy."
35,CD003582,"The small trial identified was underpowered to detect the outcome measures of interest. Consequently, there are insufficient data available to support a practice of elective delivery from 37 weeks' gestation for women with an otherwise uncomplicated twin pregnancy at term."
36,CD004765,"Despite its use over several years the effectiveness of laser photocoagulation for myopic CNV has not been established. Although there was a suggestion of short-term effectiveness in one small study on non-subfoveal CNV the results were potentially biased. Observational studies suggest that the enlargement of the atrophic laser scar after laser treatment of non-subfoveal CNV could be a potentially vision-threatening long-term complication, even in eyes free of CNV recurrence."
37,CD003685,"In patients with RA, rofecoxib demonstrates a greater degree of efficacy than placebo, while having a comparable safety profile. Rofecoxib demonstrates a similar degree of efficacy as naproxen, but with a significantly lower rate of ulceration and gastrointestinal bleeding. Rofecoxib was associated with a greater risk for MI, but the exact significance and pathophysiology of this possible relationship is unclear.
Rofecoxib was voluntarily withdrawn from global markets in October 2004. It cannot therefore be prescribed and therefore there are no implications for practice concerning its use. None the less when considering which NSAID to use, it must be borne in mind that the toxicity of NSAIDs is variable amongst patients and drugs and it tends to be dose related and associated with variation in the mode of action, absorption, distribution and metabolism.There remains a number of questions over both the benefits and risks associated with Cox II selective agents and further work is ongoing. It is likely that this issue will not be resolved until research has enabled a fuller understanding of the complex mechanism by which the Cox system operates."
38,CD003438,"Visibility aids have the potential to increase visibility and enable drivers to detect pedestrians and cyclists earlier. Biomotion markings, which highlight the movement and form of the pedestrian, showed evidence of improving pedestrians' conspicuity at night. Public acceptability of various effective strategies which improve visibility would merit further development. However, the effect of visibility aids on pedestrian and cyclist safety remains unknown. A cluster randomised controlled trial involving large communities may provide an answer to this question. It would, however, be a challenging trial to conduct. Studies that collect data of road traffic injuries relating to the use of visibility aids also warrant consideration."
39,CD007825,"Collaboration between local health and local government is commonly considered best practice. However, the review did not identify any reliable evidence that interagency collaboration, compared to standard services, necessarily leads to health improvement. A few studies identified component benefits but these were not reflected in overall outcome scores and could have resulted from the use of significant additional resources. Although agencies appear enthusiastic about collaboration, difficulties in the primary studies and incomplete implementation of initiatives have prevented the development of a strong evidence base. If these weaknesses are addressed in future studies (for example by providing greater detail on the implementation of programmes; using more robust designs, integrated process evaluations to show how well the partners of the collaboration worked together, and measurement of health outcomes) it could provide a better understanding of what might work and why. It is possible that local collaborative partnerships delivering environmental Interventions may result in health gain but the evidence base for this is very limited.
Evaluations of interagency collaborative arrangements face many challenges. The results demonstrate that collaborative community partnerships can be established to deliver interventions but it is important to agree goals, methods of working, monitoring and evaluation before implementation to protect programme fidelity and increase the potential for effectiveness."
40,CD005940,We found no evidence to support the use of RDCA in pregnancy to reduce the prevalence of preterm birth. We have found insufficient evidence to assess adverse effects of the intervention.
41,CD006273,"Since the last version of this review no new studies were found. However there is one ongoing, high quality study that has not reached full recruitment. There are insufficient good quality studies to make any recommendations for practice with regard to the use of medically assisted hydration in palliative care patients."
42,CD006815,"The included studies did not report on all the outcomes that were pre-specified in the protocol for this review. Even though more effective than placebo, due to the high risk of bias of the included studies, the small number of studies and the overall small sample size, it is not possible to recommend hydroxyzine as a reliable first-line treatment in GAD."
43,CD002997,"Considering the small number of patients studied, there is insufficient evidence to support or to refute the use of macrolides in patients with chronic asthma. Further studies are needed in particular to clarify the potential role of macrolides in some subgroups of asthmatics such as those with evidence of chronic bacterial infection."
44,CD006358,"The review set out to examine the potential of financial support to poor families to improve circumstances for children. However, on the basis of current evidence we cannot state unequivocally whether financial benefits delivered as an intervention are effective at improving child health or well-being in the short term. Our conclusions are limited by the fact that most of the studies had small effects on total household income and that, while no conditions were attached to how money was spent, all studies included strict conditions for receipt of payments. We note particular concerns by some authors that sanctions and conditions (such as working hours) placed on families may increase family stress."
45,CD003309,There is no evidence from randomised controlled trials concerning the benefits or risks of deep versus shallow suctioning of endotracheal tubes in ventilated neonates and infants. Further high quality research is required.
46,CD002309,"In people with COPD, PDE4 inhibitors offered benefit over placebo in improving lung function and reducing likelihood of exacerbations, however, they had little impact on quality of life or symptoms. Gastrointestinal adverse effects and weight loss were common. The optimum place of PDE4 inhibitors in COPD management remains to be defined. Longer-term trials are needed to determine whether or not PDE4 inhibitors modify FEV1 decline, healthcare utilisation or mortality in COPD."
47,CD001991,The current evidence does not support screening for lung cancer with chest radiography or sputum cytology. Annual low-dose CT screening is associated with a reduction in lung cancer mortality in high-risk smokers but further data are required on the cost effectiveness of screening and the relative harms and benefits of screening across a range of different risk groups and settings.
48,CD003144,"The evidence found was insufficient to demonstrate any superiority of stapled over handsewn techniques in colorectal anastomosis surgery, regardless of the level of anastomosis. There were no randomised clinical trials comparing these two types of anastomosis in elective conditions in the last decade. The relevance of this research question has possibly lost its strength where elective surgery is concerned. However, in risk situations, such as emergency surgery, trauma and inflammatory bowel disease, new clinical trials are needed."
49,CD004654,"Meglitinides may offer an alternative oral hypoglycaemic agent of similar potency to metformin, and may be indicated where side effects of metformin are intolerable or where metformin is contraindicated. However, there is no evidence available to indicate what effect meglitinides will have on important long-term outcomes, particularly mortality."
50,CD009138,"Amitriptyline is an efficacious antidepressant drug. It is, however, also associated with a number of side effects. Degree of placebo response and severity of depression at baseline may moderate drug-placebo efficacy differences."
51,CD007045,"There is a need for well designed, adequately powered phase III trials assessing the effect of SIRT when used with modern combination chemotherapy regimens. Further studies are also needed for patients with refractory disease with a particular focus on the impact on quality of life."
52,CD007368,Evidence provided in this review is insufficient to recommend the use of zinc as an adjunct to standard antibiotic therapy for pneumonia in children aged two to 35 months.
53,CD002973,There is evidence from a single RCT that TGI may reduce the duration of mechanical ventilation in preterm infants - although the data from this small study do not give sufficient evidence to support the introduction of TGI into clinical practice. The technical requirements for performing TGI (as performed in the single included study) are great. There is no statistically significant reduction in the total duration of respiratory support or hospital stay. TGI cannot be recommended for general use at this time.
54,CD004107,Optimal self-management allowing for optimisation of asthma control by adjustment of medications may be conducted by either self-adjustment with the aid of a written action plan or by regular medical review. Individualised written action plans based on PEF are equivalent to action plans based on symptoms. Reducing the intensity of self-management education or level of clinical review may reduce its effectiveness.
55,CD002879,"BDP appears to demonstrate a shallow dose response effect in long-term asthma for a small number of efficacy outcomes over range of daily doses from 400 mcg/d to 1600 mcg/d, although the clinical significance of the improvements afforded by higher doses is questionable."
56,CD002086,"Minocycline is an effective treatment for moderate to moderately-severe inflammatory acne vulgaris, but there is still no evidence that it is superior to other commonly-used therapies. This review found no reliable evidence to justify the reinstatement of its first-line use, even though the price-differential is less than it was 10 years ago. Concerns remain about its safety compared to other tetracyclines."
57,CD007598,Isopropyl alcohol was more effective than saline placebo for reducing postoperative nausea and vomiting but less effective than standard anti-emetic drugs. There is currently no reliable evidence for the use of peppermint oil.
58,CD001865,"There is strong evidence from three trials that personalised risk estimates incorporated within communication interventions for screening programmes enhance informed choices. However the evidence for increasing the uptake of such screening tests with similar interventions is weak, and it is not clear if this increase is associated with informed choices. Studies included a diverse range of screening programmes. Therefore, data from this review do not allow us to draw conclusions about the best interventions to deliver personalised risk communication for enhancing informed decisions. The results are dominated by findings from the topic area of mammography and colorectal cancer. Caution is therefore required in generalising from these results, and particularly for clinical topics other than mammography and colorectal cancer screening."
59,CD007070,"There is low to moderate-level evidence that compared with no treatment and standard therapy, acupuncture improves pain and stiffness in people with fibromyalgia. There is moderate-level evidence that the effect of acupuncture does not differ from sham acupuncture in reducing pain or fatigue, or improving sleep or global well-being. EA is probably better than MA for pain and stiffness reduction and improvement of global well-being, sleep and fatigue. The effect lasts up to one month, but is not maintained at six months follow-up. MA probably does not improve pain or physical functioning. Acupuncture appears safe. People with fibromyalgia may consider using EA alone or with exercise and medication. The small sample size, scarcity of studies for each comparison, lack of an ideal sham acupuncture weaken the level of evidence and its clinical implications. Larger studies are warranted."
60,CD001087,"Care based on crisis intervention principles, with or without an ongoing home care package, appears to be a viable and acceptable way of treating people with serious mental illnesses. If this approach is to be widely implemented it would seem that more evaluative studies are still needed."
61,CD000163,"There was improved short-term postoperative outcome if the peritoneum was not closed. This in itself can support those who opt not to close the peritoneum. Long-term studies following caesarean section are limited; there is therefore no overall evidence for non-closure until long-term data become available.
[Note: The 18 citations in the awaiting classification section of the review may alter the conclusions of the review once assessed.]"
62,CD009581,"The summary estimates indicate a protective effect of Xiongshao on restenosis and suggest that Xiongshao capsule may be used to prevent restenosis after a PCI procedure in CHD patients. However, this evidence is derived from small randomised trials, all conducted in China, and two of the included trials showed important methodological limitations that undermine the validity of the findings. Additional high-quality research trials with sufficient sample size are required."
63,CD009270,"No reliable conclusions can be drawn at present regarding the efficacy of cannabinoids as a treatment for epilepsy. The dose of 200 to 300 mg daily of cannabidiol was safely administered to small numbers of patients, for generally short periods of time, and so the safety of long term cannabidiol treatment cannot be reliably assessed."
64,CD001213,"There is currently no firm evidence on which to base treatment of acute guttate psoriasis. Studies comparing standard treatment modalities, including phototherapy and topical regimens, are required to enable informed decisions on treatment choices to be made."
65,CD006842,There was no clear evidence that oscillation was a more or less effective intervention overall than other forms of physiotherapy. More adequately-powered long-term randomised controlled trials are necessary.
66,CD003651,"Currently, there is no evidence of an effect of vaginal disinfection on the risk of MTCT of HIV. Given its simplicity and low cost, there is need for a large well-designed and well-conducted randomised controlled trial to assess the additive effect of vaginal disinfection on the risk of MTCT of HIV in antiretroviral treated women."
67,CD006745,"PEI and PAI do not differ significantly regarding benefits and harms in patients with early HCC, but only a limited number of patients have been examined and the risk of bias was high in all trials. There is also insufficient evidence to determine whether PEI or segmental liver resection is more effective. While some data from the single trial suggested that PEI was safer, the high risk of bias and the lack of any confirmatory evidence make an assessment impossible."
68,CD000299,"Anti-tuberculous therapy may be effective in maintaining remission in patients with Crohn's disease when remission has been induced with corticosteroids combined with anti-tuberculous therapy. However, the results which support this conclusion come from a subgroup of only two trials with small numbers of patients and should be interpreted with caution. Use of this therapy cannot be recommended on the basis of this evidence."
69,CD007893,"Cyclosporine statistically significantly increases blood pressure compared to placebo in a dose-related fashion. The magnitude of increase in blood pressure is clinically significant and increases the risk of stroke, myocardial infarction, heart failure and other adverse cardiovascular events associated with elevated BP. Consequently prescribers should try to find the lowest effective dose in all patients receiving cyclosporine chronically."
70,CD000066,"We found no high-quality evidence to support the use of any of the topical preparations in the prevention of stretch marks during pregnancy. There is a clear need for robust, methodologically rigorous randomised trials involving larger sample sizes to evaluate the effects of topical preparations on the development of stretch marks in pregnancy. In addition, it is important that preparations commonly used by women to prevent and treat stretch marks are evaluated within the context of robust, methodologically rigorous and adequately powered randomised trials."
71,CD009009,"General health checks did not reduce morbidity or mortality, neither overall nor for cardiovascular or cancer causes, although the number of new diagnoses was increased. Important harmful outcomes, such as the number of follow-up diagnostic procedures or short term psychological effects, were often not studied or reported and many trials had methodological problems. With the large number of participants and deaths included, the long follow-up periods used, and considering that cardiovascular and cancer mortality were not reduced, general health checks are unlikely to be beneficial."
72,CD008613,There is a lack of evidence around the use of HRT in women with type 1 diabetes. The one study that has been undertaken in this area is underpowered. More RCTs are required in the area to examine the impact of HRT on glycaemic control and cardiovascular outcomes.
73,CD006286,"Current evidence suggests that intranasal corticosteroids may significantly improve nasal obstruction symptoms in children with moderate to severe adenoidal hypertrophy, and this improvement may be associated with a reduction in adenoid size. The long-term efficacy of intranasal corticosteroids in these patients remains to be defined."
74,CD000175,"Preloading prior to traditional high-dose local anaesthetic blocks may have some beneficial fetal and maternal effects in healthy women. Low-dose epidural and CSE analgesia techniques may reduce the need for preloading. The studies reviewed were too small to show whether preloading is beneficial for women having regional analgesia during labour using the lower-dose local anaesthetics or opioids. Further investigation of low-dose epidural or CSE (including opioid only) blocks, and the risks and benefits of intravenous preloading for women with pregnancy complications, is required.
[Note: The five citations in the awaiting classification section of the review may alter the conclusions of the review once assessed.]"
75,CD000057,"There is no evidence of clinical benefit of clomiphene citrate for unexplained fertility. When making this treatment choice, potential side effects should be discussed. These include the increased risk of multiple pregnancy and the concern that use for more that 12 cycles has been associated with a three-fold increase in risk of ovarian cancer."
76,CD004510,"The low methodological quality of the included studies means that results must be considered with caution. No adverse effects were reported. Nevertheless, although some studies find that the intervention had favourable effects for some outcomes, overall the studies show clinically-equivalent results between TFU and control groups. In summary, we cannot conclude that TFU is an effective intervention."
77,CD000987,"While vitamin E - which is inexpensive and has had no serious side effects reported with its use - may have beneficial effects, there is insufficient evidence to determine whether it is an effective treatment for intermittent claudication."
78,CD002777,"There is no evidence of difference between MCT and LCT on short-term growth, gastrointestinal intolerance, or necrotizing enterocolitis. Therefore, neither formula type could be concluded to improve short-term growth or have less adverse effects. Further studies are necessary because the results from the included eight studies are imprecise due to small numbers and do not address important long-term outcomes. Additional research should aim to clarify effects on formula tolerance and on long-term growth and neurodevelopmental outcomes, and include larger study populations to better evaluate effect on NEC incidence."
79,CD007594,"Potential for increased risk of AKI should be considered when weighing the risks and benefits of HES for volume resuscitation, particularly in septic patients. Large studies with adequate follow-up are required to evaluate the renal safety of HES products in non-septic patient populations. RIFLE criteria should be applied to evaluate kidney function in future studies of HES and, where data is available, to re-analyse those studies already published. There is inadequate clinical data to address the claim that safety differences exist between different HES products."
80,CD004963,"There is weak evidence that some types of exercise (gait, balance, co-ordination and functional tasks; strengthening exercise; 3D exercise and multiple exercise types) are moderately effective, immediately post intervention, in improving clinical balance outcomes in older people. Such interventions are probably safe. There is either no or insufficient evidence to draw any conclusions for general physical activity (walking or cycling) and exercise involving computerised balance programmes or vibration plates. Further high methodological quality research using core outcome measures and adequate surveillance is required."
81,CD001497,"Interventions with retailers can lead to large decreases in the number of outlets selling tobacco to youths. However, few of the communities studied in this review achieved sustained levels of high compliance. This may explain why there is limited evidence for an effect of intervention on youth perception of ease of access to tobacco, and on smoking behaviour."
82,CD005997,"Hormone replacement therapy for women with endometriosis in post-surgical menopause could result in pain and disease recurrence. However, the evidence in the literature is not strong enough to suggest depriving severely symptomatic patients from this treatment. There is a need for more randomised controlled studies."
83,CD005543,"There are no clear findings to support or refute the use of prophylactic manoeuvres to prevent shoulder dystocia, although one study showed an increased rate of caesareans in the prophylactic group. Both included studies failed to address important maternal outcomes such as maternal injury, psychological outcomes and satisfaction with birth. Due to the low incidence of shoulder dystocia, trials with larger sample sizes investigating the use of such manoeuvres are required."
84,CD007107,There is no evidence for or against antibiotics compared to G(M)-CSFs for the prevention of infections in cancer patients.
85,CD005077,"There is insufficient evidence from randomised trials comparing arthroscopic with open surgery for treating anterior shoulder instability. Further research is needed on this subject and for other surgical interventions. Sufficiently powered, good quality, well reported randomised controlled trials with validated outcome measures and long-term follow up are required."
86,CD003006,"The risk of developing TNS after spinal anaesthesia with lidocaine was significantly higher than when bupivacaine, prilocaine, or procaine were used. The term 'transient neurological symptoms' implies neurologic pathology. Failing identification of the pathogenesis of TNS, consideration should be given to choosing a neutral descriptive term which does not imply a particular causation. One study about the impact of TNS on patient satisfaction and functional impairment demonstrated that non-TNS patients were more satisfied and had less functional impairment after surgery than TNS patients, but this did not influence their willingness to recommend spinal anaesthesia."
87,CD004872,"Three to six days of oral antibiotics had comparable efficacy compared to the standard duration 10-day course of oral penicillin in treating children with acute GABHS pharyngitis. . In areas where the prevalence of rheumatic heart disease is still high, our results must be interpreted with caution."
88,CD003037,"The results are derived from relatively small trials. Prostaglandins used alone seems to be less effective and more painful compared to surgical first-trimester abortion. However, there is inadequate evidence to comment on the acceptability and side effects of medical compared to surgical first-trimester abortions. There is a need for trials to address the efficacy of currently used methods and women's preferences more reliably."
89,CD006266,"There is insufficient randomised evidence to be confident of a difference between GHB and placebo, or to determine reliably if GHB is more or less effective than other drugs for the treatment of alcohol withdrawl or the prevention of relapses. The small amount of randomised evidence available suggests that GHB 50mg may be more effective than placebo in the treatment of AWS, and in preventing relapses and craving in previously detoxified alcoholics during the first 3 months of follow-up. This review does not provide evidence in favour or against GHB compared to benzodiazepines and Clomethiazole for treatment of AWS; but, again based on a small amount of randomised evidence, GHB appears better than NTX and Disulfiram in maintaining abstinence and preventing craving in the medium term (3 to 12 months). The review does not provide evidence of a difference in side effects between GHB and benzodiazepines, NTX or Disulfiram. These findings should be considered alongside concerns that have been raised about GHB regarding the risk of developing addiction, and the misuse or abuse of the drug, suggesting to use GHB only under strict medical surveillance."
90,CD003539,"The effectiveness of an intervention on antibiotic prescribing depends to a large degree on the particular prescribing behaviour and the barriers to change in the particular community. No single intervention can be recommended for all behaviours in any setting. Multi-faceted interventions where educational interventions occur on many levels may be successfully applied to communities after addressing local barriers to change. These were the only interventions with effect sizes of sufficient magnitude to potentially reduce the incidence of antibiotic-resistant bacteria. Future research should focus on which elements of these interventions are the most effective. In addition, patient-based interventions and physician reminders show promise and innovative methods such as these deserve further study."
91,CD008101,"There is limited evidence for the effectiveness of real-time continuous glucose monitoring (CGM) use in children, adults and patients with poorly controlled diabetes. The largest improvements in glycaemic control were seen for sensor-augmented insulin pump therapy in patients with poorly controlled diabetes who had not used an insulin pump before. The risk of severe hypoglycaemia or ketoacidosis was not significantly increased for CGM users, but as these events occurred infrequent these results have to be interpreted cautiously.There are indications that higher compliance of wearing the CGM device improves glycosylated haemoglobin A1c level (HbA1c) to a larger extent."
92,CD000493,"Different approaches to assessing and reporting pruritus precluded pooling of trials comparing the effects of UDCA versus placebo on pruritus, but examination of individual trials suggests that UDCA significantly improves pruritus, albeit by a small amount. Fewer instances of fetal distress/asphyxial events were seen in the UDCA groups when compared with placebo but the difference was not statistically significant. Large trials of UDCA to determine fetal benefits or risks are needed.
A single trial was too small to rule in or out a clinically important effect of early term delivery on caesarean section.
There is insufficient evidence to indicate that SAMe, guar gum, activated charcoal, dexamethasone, cholestyramine, Salvia, Yinchenghao decoction (YCHD), Danxioling and Yiganling, or Yiganling alone or in combination are effective in treating women with cholestasis of pregnancy."
